"ACC"|"Accounting"
"ALH"|"Allied Health"
"ACT"|"Applications of Computer Tech"
"ADM"|"Applied Digital Media"
"MAS"|"Applied Science"
"ART"|"Art"
"BIO"|"Biology"
"CHE"|"Chemistry"
"CHI"|"Chinese"
"CIN"|"Cinema"
"CLS"|"Clinical Laboratory Science"
"COM"|"Communication Studies"
"CSC"|"Computer Science"
"CET"|"Construction Engineering Techn"
"CED"|"Continuing Education   (WI)"
"LAW"|"Criminal Justice"
"DAN"|"Dance"
"ESC"|"Earth Science"
"ECO"|"Economics"
"EDU"|"Education"
"EET"|"Electronics Engineering Techno"
"EGT"|"Engineering Technology"
"ENG"|"English"
"ETC"|"English Technical Communicatio"
"ENT"|"Entrepreneurship"
"FIN"|"Finance"
"FRE"|"French"
"GBA"|"General Business"
"GEO"|"Geography"
"GER"|"German"
"HIF"|"Health Information Management"
"HIS"|"History"
"HON"|"Honors Program"
"HUM"|"Humanities"
"ILS"|"Industrial Life Science"
"MIM"|"Information Management"
"JOU"|"Journalism"
"LDR"|"Leadership"
"LAT"|"Legal Assistant"
"MGT"|"Management"
"MET"|"Manufacturing Engineering Tech"
"MKT"|"Marketing"
"MAT"|"Mathematics"
"MTE"|"Medical Technology"
"MIL"|"Military Science"
"MUS"|"Music"
"NUR"|"Nursing"
"PHL"|"Philosophy"
"PED"|"Physical Education"
"PHS"|"Physical Science"
"PTA"|"Physical Therapist Assistant"
"PHY"|"Physics"
"POL"|"Policing"
"PSC"|"Political Science"
"PSY"|"Psychology"
"RDG"|"Reading"
"RSM"|"Recreation Sport Management"
"REL"|"Religion"
"SWK"|"Social Work"
"SOC"|"Sociology"
"SPA"|"Spanish"
"SFM"|"Sport and Fitness Management"
"SCM"|"Supply Chain Management"
"TSL"|"Teaching Second Language"
"THR"|"Theatre"
"UNV"|"University Orientation"
